Monday	3:30-5:30pm	7:30pm-9:30pm - PSF	7:30pm-9:30pm
Aug. 24	 DSL VR 1: Creativity Commons	Lab 1A: Scale of the Solar System: LSE	Lab 1A: Scale of the Solar System: LSE 
Aug. 31	Lab 1B: Lunar Phases: LSE		
Sep. 7	Labor Day	Labor Day	Labor Day
Sep. 14	DSL VR 2: Creativity Commons	Lab 2A: Coordinate Systems: PSF	Lab 2A: Coordinate Systems: PSF
Sep. 21		Lab 2B: Intro to the Night Sky: PSF	Lab 2B: Intro to the Night Sky: PSF
Sep. 28	DSL VR3: Creativity Commons	TLab 7: Intro to Telescopes: PSF	TLab 7: Intro to Telescopes: PSF
Oct. 5	Lab 3A: Spectroscopy: LSE		
Oct. 12	Fall Break	Fall Break	Fall Break
Oct. 19		TLab 8: Lunar Observing: PSF	TLab 8: Lunar Observing: PSF
Oct. 26	Lab 3B: Orbital Motions: LSE		
Nov. 2	DSL VR 4: Creativity Commons 	Lab 4A: Impact Cratering: LSE	Lab 4A: Impact Cratering: LSE
Nov. 9	Lab 4B: Planetary Surface Processes: LSE		
Nov. 16	DSL VR 5: Creativity Commons	Lab 5A: Solar System Formation: LSE	Lab 5A: Solar System Formation: LSE
Nov. 23	Lab 5B: Planetary Atmospheres: LSE		
Nov. 30	DSL VR 6: Creativity Commons	Lab 6: Exoplanets: LSE	Lab 6: Exoplanets: LSE
			
			
Labs using Old Lab Scripts:			
Lunar Observing			
Intro Telescopes			
Extrasolar Planets			
			
All other labs scripts are brand new and in Canvas quiz.			
